List of Courses for 2020 Spring Semester,,,,,,,,
#,Course Code,Title,_L_T_P_C_ ,Total Student,Course Coordinator,Course Instructor,Slot,Room No
102,CH 602,"Thermodynamics, Kinetics, Electrochemistry",2 - 1 - 0 - 3,20,Dr. Tridib Kumar Sarma,"Dr. Satya S. Bulusu, Dr. Tridib Kumar Sarma,",U,SB-115
103,BSE 606,Molecular Virology and Viral Pathogenesis,2 - 1 - 0 - 3,2,Dr. Debasis Nayak,"Dr. Debasis Nayak,",U,SB-314A
104,BSE 612,Immunology and Immunotechnology,2 - 1 - 0 - 3,8,Prof. Avinash Sonawane,"Prof. Avinash Sonawane,",U,SB-314B
105,MA 742,Commutative Algebra,2 - 1 - 0 - 3,4,Dr. Anand Prakash,"Dr. Anand Prakash,",U,0
106,CE 436,Finite Element Analysis,2 - 1 - 0 - 3,3,Dr. Saikat Sarkar,"Dr. Saikat Sarkar,",U,1E-408
107,BSE 602,Modern NMR Spectroscopy,1 - 2 - 0 - 3,0,Dr. Amit Kumar,"Dr. Amit Kumar,",U,SB-209
108,AA 474N/674N,Radio Astronomy,2 - 1 - 0 - 3,25,Dr. Abhirup Datta,"Dr. Abhirup Datta, Dr. Manoneeta Chakraborty,",U,1E-505
109,CS 417/617,Cryptography and Network Security,2 - 1 - 0 - 3,42,Dr. Bodhisatwa Mazumdar,"Dr. Bodhisatwa Mazumdar,",U,1E-506
110,EE 428/628,Advanced Memory Technology,2 - 1 - 0 - 3,14,Dr. Shaibal Mukherjee,"Dr. Shaibal Mukherjee,",U,0
111,ME 460/660,Technology of Surface Coating,2 - 1 - 0 - 3,16,Dr. Kazi Sabiruddin,"Dr. Kazi Sabiruddin,",U,0
112,MM 448/648,Solidification and Phase Field Modeling,2 - 0 - 2 - 3,9,Dr. Sumanta Samal,"Dr. Sumanta Samal,",U,1E-406
113,CE 404,Design of Structures-III,2 - 1 - 0 - 3,36,Prof. Sandeep Chaudhary,"Prof. Sandeep Chaudhary,",V,1E-408
114,CH 604,Molecular Spectroscopy,2 - 1 - 0 - 3,20,Dr. Anjan Chakraborty,"Dr. Anjan Chakraborty, Dr. Tushar Kanti Mukherjee,",V,SB-115
